S/no,Name,Calories,Image,Price,Category
1,Steamed Chicken with Rice,618,,$3.00,Asian
2,Steamed Chicken Wing with Rice,620,,$3.00,Asian
3,Steamed Drumstick Rice,687,,$3.50,Asian
4,Roasted Chicken with Rice,688,,$3.00,Asian
5,Roasted Chicken Wing with Rice,690,,$3.00,Asian
6,Roasted Drumstick Rice,757,,$3.50,Asian
7,Fried Lemon Chicken with Rice,1277,,$4.00,Asian
8,Thai Chicken Cutlet with Rice,1142,,$4.00,Asian
9,Steamed Chicken Noodles,593,,$3.00,Asian
10,Roasted Chicken Noodles,663,,$3.00,Asian
11,Roasted Half Chicken,305,,,Asian
12,Roasted Whole Chicken,610,,,Asian
13,Roasted Chicken Breast Meat,397,,,Asian
14,Roasted Chicken Thigh Meat,152,,,Asian
15,Roasted Chicken Wings,60,,,Asian
16,Steamed Half Chicken,218,,,Asian
17,Steamed Whole Chicken,436,,,Asian
18,Steamed Chicken Breast Meat,284,,,Asian
19,Steamed Chicken Thigh Meat,109,,,Asian
20,Steamed Chicken Wings,43,,,Asian
21,Chicken Liver,172,,,Asian
22,Chicken Gizzard,94,,,Asian
23,Dried Chilli Chicken,277,,,Asian
24,Prawn Paste Chicken Wing,545,,,Asian
25,Chicken Cutlet with Rice,333,,,Asian
26,Fried Chicken Cutlet,310,,,Asian
27,Chicken Rice only,466,,,Asian
28,Chye Sim with Oyster Sauce,292,,,Asian
29,Chye Sim with Garlic,139,,,Asian
30,Stir Fried bean sprout,63,,,Asian
31,Stir Fried bean sprout with salted fish,86,,,Asian
