Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Pickle Rollups,230,https://images.media-allrecipes.com/userphotos/300x300/1070710.jpg,10,18.3 ,3.2,13.4 ,80 ,1103 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14884/pickle-rollups/
Loaded Queso Fundido,719,https://images.media-allrecipes.com/userphotos/300x300/1810432.jpg,8,56.4 ,7.4,46.1 ,175 ,2284 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/237491/loaded-queso-fundido/
Bacon Jalapeno Popper Puffs,291,https://images.media-allrecipes.com/userphotos/300x300/3345433.jpg,8,25.1 ,9.4,7.6 ,98 ,488 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/246256/bacon-jalapeno-popper-puffs/
Super Nachos,432,https://images.media-allrecipes.com/userphotos/300x300/2615694.jpg,12,24.5 ,39.7,15.2 ,44 ,1081 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/51147/super-nachos/
Mini Philly Cheesesteaks,280,https://images.media-allrecipes.com/userphotos/300x300/2805818.jpg,12,9.9 ,34.8,12.9 ,18 ,489 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/241000/mini-philly-cheesesteaks/
Big Ray's Mexican Monkey Bread,195,https://images.media-allrecipes.com/userphotos/300x300/2336354.jpg,12,11.4 ,17,6.1 ,19 ,481 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/237835/big-rays-mexican-monkey-bread/
Best Spinach Dip Ever,682,https://images.media-allrecipes.com/userphotos/300x300/748478.jpg,6,47.4 ,53.2,13.3 ,48 ,1183 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22617/best-spinach-dip-ever/
Baked Crab and Artichoke Dip,414,https://images.media-allrecipes.com/userphotos/300x300/1866265.jpg,12,25 ,27.5,20.9 ,92 ,754 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/231170/baked-crab-and-artichoke-dip/
Cheesy Burrito Game Day Dip,595,https://images.media-allrecipes.com/userphotos/300x300/1119769.jpg,8,41 ,24.2,32.9 ,138 ,1271 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/234476/cheesy-burrito-game-day-dip/
Guacamole,262,https://images.media-allrecipes.com/userphotos/300x300/4521556.jpg,4,22.2 ,18,3.7 ,0 ,596 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14231/guacamole/
Buffalo Chicken Dip,284,https://images.media-allrecipes.com/userphotos/300x300/3095600.jpg,20,22.6 ,8.6,11.1 ,54 ,552 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/
Annie's Fruit Salsa and Cinnamon Chips,312,https://images.media-allrecipes.com/userphotos/300x300/4536841.jpg,10,5.9 ,59,6.8 ,0 ,462 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/
Mouth-Watering Stuffed Mushrooms,88,https://images.media-allrecipes.com/userphotos/300x300/414837.jpg,12,8.2 ,1.5,2.7 ,22 ,82 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/
Jalapeno Popper Spread,110,https://images.media-allrecipes.com/userphotos/300x300/265544.jpg,32,11.1 ,1,2.1 ,20 ,189 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/139012/jalapeno-popper-spread/
Restaurant-Style Buffalo Chicken Wings,364,https://images.media-allrecipes.com/userphotos/300x300/445293.jpg,5,32.4 ,10.7,7.9 ,44 ,497 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24087/restaurant-style-buffalo-chicken-wings/
