Name,Calories,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Very Easy Shrimp Dip,134,8,10.2 ,5,5.7 ,55 ,361 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25857/very-easy-shrimp-dip/
Loaded Queso Fundido,719,8,56.4 ,7.4,46.1 ,175 ,2284 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/237491/loaded-queso-fundido/
Bacon Jalapeno Popper Puffs,291,8,25.1 ,9.4,7.6 ,98 ,488 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/246256/bacon-jalapeno-popper-puffs/
Super Nachos,432,12,24.5 ,39.7,15.2 ,44 ,1081 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/51147/super-nachos/
Mini Philly Cheesesteaks,280,12,9.9 ,34.8,12.9 ,18 ,489 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/241000/mini-philly-cheesesteaks/
Big Ray's Mexican Monkey Bread,195,12,11.4 ,17,6.1 ,19 ,481 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/237835/big-rays-mexican-monkey-bread/
Best Spinach Dip Ever,682,6,47.4 ,53.2,13.3 ,48 ,1183 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22617/best-spinach-dip-ever/
Baked Crab and Artichoke Dip,414,12,25 ,27.5,20.9 ,92 ,754 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/231170/baked-crab-and-artichoke-dip/
Cheesy Burrito Game Day Dip,595,8,41 ,24.2,32.9 ,138 ,1271 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/234476/cheesy-burrito-game-day-dip/
Guacamole,262,4,22.2 ,18,3.7 ,0 ,596 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14231/guacamole/
Buffalo Chicken Dip,284,20,22.6 ,8.6,11.1 ,54 ,552 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/
Annie's Fruit Salsa and Cinnamon Chips,312,10,5.9 ,59,6.8 ,0 ,462 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/
Mouth-Watering Stuffed Mushrooms,88,12,8.2 ,1.5,2.7 ,22 ,82 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/
Jalapeno Popper Spread,110,32,11.1 ,1,2.1 ,20 ,189 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/139012/jalapeno-popper-spread/
Restaurant-Style Buffalo Chicken Wings,364,5,32.4 ,10.7,7.9 ,44 ,497 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24087/restaurant-style-buffalo-chicken-wings/
Double Tomato Bruschetta,215,12,8.9 ,24.8,9.6 ,12 ,426 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/
Artichoke & Spinach Dip Restaurant Style,153,12,12.3 ,5.2,6.6 ,28 ,485 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/
Hot Artichoke and Spinach Dip II,134,12,11.7 ,3.4,4.4 ,28 ,315 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/
Seven Layer Taco Dip,66,56,4.9 ,3.5,2.3 ,13 ,178 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19673/seven-layer-taco-dip/
Brown Sugar Smokies,356,12,27.2 ,18.9,9 ,49 ,696 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14939/brown-sugar-smokies/
Baked Kale Chips,58,6,2.8 ,7.6,2.5 ,0 ,185 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/176957/baked-kale-chips/
Asian Lettuce Wraps,388,4,22.3 ,24.3,23.4 ,69 ,580 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/71722/asian-lettuce-wraps/
Hummus III,77,16,4.3 ,8.1,2.6 ,0 ,236 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14830/hummus-iii/
Sugar Coated Pecans,328,12,27.2 ,22,3.8 ,0 ,150 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13838/sugar-coated-pecans/
Coconut Shrimp I,317,6,19.3 ,26.3,8.4 ,67 ,241 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17753/coconut-shrimp-i/
Playgroup Granola Bars,161,24,5.5 ,26.6,2.4 ,8 ,79 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/81298/playgroup-granola-bars/
Cocktail Meatballs,193,10,10.2 ,15.2,9.8 ,53 ,85 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15206/cocktail-meatballs/
Bacon Wrapped Smokies,163,16,10.5 ,10.7,6.5 ,26 ,458 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/69919/bacon-wrapped-smokies/
Grilled Marinated Shrimp,447,6,37.5 ,3.7,25.3 ,230 ,800 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/
Southwestern Egg Rolls,419,5,31.2 ,21.8,13.6 ,29 ,575 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25502/southwestern-egg-rolls/
Spicy Bean Salsa,155,12,6.4 ,20.4,5 ,0 ,949 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14861/spicy-bean-salsa/
Kettle Corn,209,5,11.9 ,24.8,2.4 ,0 ,< 1 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20808/kettle-corn/
Japanese Chicken Wings,675,6,44.3 ,51.4,18.9 ,158 ,1112 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23312/japanese-chicken-wings/
Bacon Cheddar Deviled Eggs,187,12,17 ,0.8,7.9 ,197 ,223 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/69084/bacon-cheddar-deviled-eggs/
Baked Buffalo Wings,125,20,9.2 ,3.8,6.8 ,32 ,258 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/166638/baked-buffalo-wings/
Grilled Bacon Jalapeno Wraps,391,6,38.3 ,2.2,9.5 ,79 ,577 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87076/grilled-bacon-jalapeno-wraps/
Chocolate Chip Cheese Ball,102,32,8.4 ,6.9,1 ,15 ,42 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26740/chocolate-chip-cheese-ball/
Spinach Brownies,92,24,6 ,5.6,4.1 ,32 ,216 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26972/spinach-brownies/
Florentine Artichoke Dip,194,16,17.1 ,4.9,6.1 ,39 ,379 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14930/florentine-artichoke-dip/
Spiced Pumpkin Seeds,90,8,5.1 ,8.9,3 ,0 ,214 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13839/spiced-pumpkin-seeds/
D's Famous Salsa,16,16,0.1 ,3.9,0.6 ,0 ,283 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16259/ds-famous-salsa/
Best Ever Jalapeno Poppers,149,32,12 ,6.8,3.9 ,20 ,110 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20858/best-ever-jalapeno-poppers/
Fruit Dip II,118,12,6.6 ,13.4,1.5 ,21 ,68 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16570/fruit-dip-ii/
Real Hummus,54,20,2.5 ,6.8,1.6 ,0 ,199 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26921/real-hummus/
BLT Dip,181,16,17.8 ,1.5,4.1 ,22 ,301 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14944/blt-dip/
"Avocado, Tomato and Mango Salsa",158,6,12 ,13.8,1.9 ,0 ,397 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/74694/avocado-tomato-and-mango-salsa/
Pumpkin Fluff Dip ,65,32,3.6 ,8.4,0.3 ,0 ,99 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24740/pumpkin-fluff-dip/
Bacon and Tomato Cups,216,15,15.1 ,15,5.3 ,18 ,430 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14967/bacon-and-tomato-cups/
Chicken Puffs,399,12,25.9 ,28.4,10.7 ,42 ,645 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26738/chicken-puffs/
Amy's Cilantro Cream Sauce,230,4,20.5 ,7.1,5 ,63 ,868 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20446/amys-cilantro-cream-sauce/
Toasted Garlic Bread,213,10,10.1 ,23.4,6.9 ,22 ,376 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21060/toasted-garlic-bread/
Ken's Perfect Hard Boiled Egg (And I Mean Perfect),72,8,5 ,0.4,6.3 ,186 ,947 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213737/kens-perfect-hard-boiled-egg-and-i-mean-perfect/
Party Pinwheels,229,15,14.5 ,18.6,5.9 ,37 ,477 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14961/party-pinwheels/
Balsamic Bruschetta,194,8,2.5 ,35.2,8.3 ,2 ,471 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/54165/balsamic-bruschetta/
My Crab Cakes,318,10,22.1 ,22,10.5 ,73 ,407 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19490/my-crab-cakes/
Potato Chips,80,4,3.5 ,11.6,1.2 ,0 ,295 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/66646/potato-chips/
Sausage Stuffed Jalapenos,362,12,34.3 ,4.3,9.2 ,58 ,601 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/83500/sausage-stuffed-jalapenos/
Creamy Dill Cucumber Toasties,247,12,14.5 ,23.7,6.1 ,24 ,619 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14811/creamy-dill-cucumber-toasties/
Easy Guacamole,45,16,3.7 ,3.4,0.7 ,0 ,2 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14064/easy-guacamole/
Chicken and Broccoli Braid,580,6,36.3 ,36.3,26.7 ,99 ,756 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15028/chicken-and-broccoli-braid/
Boneless Buffalo Wings,710,3,46.9 ,43.7,28 ,136 ,2334 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/151266/boneless-buffalo-wings/
Cream Cheese Penguins,57,18,5.5 ,1.2,1 ,14 ,104 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19687/cream-cheese-penguins/
Chewy Granola Bars,299,18,14 ,42.9,4.3 ,18 ,123 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/11382/chewy-granola-bars/
Lana's Sweet and Sour Meatballs,427,8,16.5 ,42.1,27.4 ,124 ,479 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26616/lanas-sweet-and-sour-meatballs/
Easy Granola Bars,179,24,8.1 ,24.8,3.9 ,8 ,38 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25794/easy-granola-bars/
Easy Cheese Ball II,557,7,52.5 ,7.5,17 ,113 ,720 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14927/easy-cheese-ball-ii/
Grilled Shrimp Scampi,173,6,10 ,1.6,18.7 ,173 ,200 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/12771/grilled-shrimp-scampi/
Chicken Wing Dip,240,16,21.8 ,1.6,9.4 ,57 ,357 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/90544/chicken-wing-dip/
Hot Pizza Dip,115,16,9.5 ,1.9,5.6 ,29 ,271 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14803/hot-pizza-dip/
Avocado Feta Salsa,66,12,5.6 ,2.8,1.8 ,8 ,108 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87678/avocado-feta-salsa/
Luscious Spinach Artichoke Dip,50,24,4 ,2.4,1.5 ,7 ,141 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15141/luscious-spinach-artichoke-dip/
Quick Baked Zucchini Chips,92,4,1.7 ,13.8,6.1 ,2 ,340 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/89452/quick-baked-zucchini-chips/
Fried Mozzarella Cheese Sticks,400,8,22.5 ,29.5,19.4 ,83 ,805 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23596/fried-mozzarella-cheese-sticks/
Antipasto Squares,452,10,29.1 ,25.3,20 ,104 ,1291 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/57808/antipasto-squares/
Roasted Pumpkin Seeds,83,6,4.5 ,8.6,3 ,4 ,12 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13768/roasted-pumpkin-seeds/
Outrageous Warm Chicken Nacho Dip,232,12,13.6 ,8.7,18.6 ,60 ,790 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/157940/outrageous-warm-chicken-nacho-dip/
Mahogany Chicken Wings,773,5,43.6 ,43.1,51.9 ,210 ,1650 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25505/mahogany-chicken-wings/
The Best Sweet and Sour Meatballs,516,4,16.8 ,67.1,24.5 ,122 ,815 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26673/the-best-sweet-and-sour-meatballs/
